Attraction,Description,Country,Continent
Immigration Museum,"The Immigration Museum uses voices, images and memorabilia to tell the many stories of Australian immigration. It's symbolically housed in the old Customs…",Australia,Oceania
Waverley Cemetery,"Many Sydneysiders would die for these views…and that’s the only way they'll get them. Blanketing the clifftops between Bronte and Clovelly beaches, the…",Australia,Oceania
Russell Falls,"The park's star water feature is the magnificently tiered, 45m-high Russell Falls, an easy 20-minute return amble from behind the Mt Field National Park…",Australia,Oceania
Old Geraldton Gaol & Craft Centre,"The gaol's gloomy cells held prisoners from 1856 to 1985, and framed historic documents weave a fascinating tale of daring escapes, gruesome executions,…",Australia,Oceania
Mt Hypipamee National Park,This park's eponymous main attraction – the eerie Mt Hypipamee Crater – is an unplumbed volcanic pipe more than 80m deep; the granite walls that plunge to…,Australia,Oceania
Boyd's Tower,"At the end of Edrom Rd is the turn-off for Boyd’s Tower, built in the late 1840s from Sydney sandstone. It was built as a lighthouse, but the government…",Australia,Oceania
Burlong Pool,"This natural pool on the Avon River is a significant Aboriginal site – as legend has it, the summer home of the Wargal, the giant snakelike creature that…",Australia,Oceania
Yarra Bend Park,"Escape the city without leaving town in this large area of native bushland flanking the river, about 5km northeast of the city centre. It's an area…",Australia,Oceania
Tamarama Beach,"Surrounded by high cliffs, Tamarama has a deep tongue of sand with just 80m of shoreline. Diminutive, yes, but ever-present rips make Tamarama the most…",Australia,Oceania
Lost World,"A real local secret (not so secret now, eh?), Lost World is an amazing boulder field near the summit of Kunanyi/Mt Wellington, backed by a miniature…",Australia,Oceania
Symbio Wildlife Gardens,"Friendly kangaroos are the highlight at this private zoo, 34km north of Wollongong. Native animals such as emus, echidnas and koalas (plus imported…",Australia,Oceania
Ocean Beach,"Head 6km west of Strahan's town centre to find Ocean Beach, Tasmania's longest beach (40km), which is fiercely pounded by surf. It runs uninterrupted from…",Australia,Oceania
Mary Poppins House,"Built in 1879, this adorable timber abode was the childhood home of PL Travers (born Helen Lyndon Goff), creator of Mary Poppins. One-hour guided tours of…",Australia,Oceania
Serpentine Falls,"This 15m sluice of water is within Serpentine National Park, feathering down the face of a smooth granite escarpment. Falls Rd is off the South Western…",Australia,Oceania
Chillagoe Smelters,"Part of the Chillagoe−Mungana Caves National Park, these eerie, abandoned smelters are a Chillagoe icon. They operated at a furious pace between 1900 and…",Australia,Oceania
Lower Glenelg National Park,"Hidden away in Victoria's far southwestern corner is one of the state's most scenic national parks, of which the Glenelg River is the most prominent…",Australia,Oceania
University of Melbourne,The esteemed University of Melbourne was established in 1853 and remains one of Australia’s most prestigious universities. Its blend of Victorian Gothic…,Australia,Oceania
Darlington,The township of Darlington (officially the World Heritage–listed Darlington Probation Station) is where you’ll start your time on the island. Close to the…,Australia,Oceania
Prahran Market,Prahran Market is a Melbourne institution and foodie paradise. The facade – designed by Charles D'Ebro in Queen Anne revival style – dates back to 1891…,Australia,Oceania
Bournda National Park,"The 2655-hectare Bournda National Park has empty surf beaches, rugged headlands and forested walking trails. Around 200 bird species flit around its…",Australia,Oceania
Ian Potter Museum of Art,This museum manages Melbourne University’s extensive art collection – the largest university collection in the country – over three levels. The collection…,Australia,Oceania
Bundjalung National Park,"Stretching for 25km along the coast north of the Clarence River to South Evans Head, this national park is largely untouched. Most of it is best explored…",Australia,Oceania
Morton National Park,"Inland from the coastal strip but easily accessible from Nowra, Kangaroo Valley or the Southern Highlands, Morton National Park features the deep gorges…",Australia,Oceania
Rocky Cape National Park,"Tasmania’s smallest national park, pinmatik/Rocky Cape, stretches 12km along Bass Strait’s shoreline. It has great significance to the local Indigenous…",Australia,Oceania
Green Cape Lightstation,"At the southern tip of Ben Boyd's southern section, elegant 1883 Green Cape Lightstation offers awesome views. There are tours (by appointment only) and…",Australia,Oceania
Fossil Bluff,"Created by an ancient tidewater glacier, 275-million-year-old Fossil Bluff is rich in fossils, including the remains of prehistoric whales and the oldest…",Australia,Oceania
Comet Gold Mine Museum,"Opposite the now-defunct gold mine, 7km out of town, the caretaker (Gerald) of this absorbing little museum is happy to talk you through the history of…",Australia,Oceania
Minjungbal Aboriginal Cultural Centre,"This small cultural centre set in a grove of old gum trees on the Tweed River provides an interesting insight into the traditional owners of the land, the…",Australia,Oceania
Parramatta Park,"This 85-hectare riverside park has a democratic feel as locals descend on it to run, laze, picnic or go to a concert or other events. The site of…",Australia,Oceania
Toowoomba Regional Art Gallery,"Toowoomba's modestly sized art gallery houses an interesting collection of paintings, ceramics and drawings. Its permanent collection includes works by…",Australia,Oceania
Carnarvon Space & Technology Museum,"Established jointly with NASA in 1966, the OTC Satellite Earth Station (or OTC Dish) at the edge of town tracked the Gemini and Apollo space missions, as…",Australia,Oceania
Goldfields Historical Museum,"With a range of relics and stories, this interesting historical museum has a replica of the 72kg Welcome Stranger, the world’s largest alluvial nugget,…",Australia,Oceania
Rainforestation,"You'll need a full day to properly explore this enormous complex, divided into three sections: a koala & wildlife park, the interactive Pamagirri…",Australia,Oceania
Mary River National Park,"If Mary River National Park were anywhere else, it would be considered a top-notch wildlife-destination, with barramundi fishing, pretty landscapes, an…",Australia,Oceania
Djukbinj National Park,Flood plains and billabongs make for good birdwatching at this pretty park 80km southeast of Darwin off the Arnhem Hwy. This was once the hunting grounds…,Australia,Oceania
St Helens History Room,"Out the back of the town visitor centre is this unexpected little museum, with more than 1000 items cataloguing the town's social and natural history…",Australia,Oceania
Indigenous Rock Art Galleries,"Indigenous people have lived in the Chillagoe area for 37,000 years. The Chillagoe−Mungana Caves National Park is home to two accessible Aboriginal rock…",Australia,Oceania
New Farm Park,"On the tail end of Brunswick St by the river, heritage-listed New Farm Park provides urban respite with its jacaranda trees, rose gardens and picnic areas…",Australia,Oceania
South Head,"At the northern end of Camp Cove, the South Head Heritage Trail kicks off, leading into a section of Sydney Harbour National Park distinguished by harbour…",Australia,Oceania
Granite Gorge Nature Park,"This privately owned nature park (12km from Mareeba) occupies an alien landscape of humungous granite boulders, caves and turtle-inhabited swimming holes…",Australia,Oceania
Naree Budjong Djara National Park,"Naree Budjong Djara National Park is Straddie's heartland, home to the glittering Blue Lake (Kaboora). To access the park and the lake, head 6.5km east of…",Australia,Oceania
Trowunna Wildlife Park,"This privately owned wildlife park with a focus on conservation and education has Tasmanian devils, wombats, quolls and a raptor rehabilitation centre,…",Australia,Oceania
Elizabeth Farm,"Elizabeth Farm contains part of Australia’s oldest surviving colonial building (1793), built by renegade pastoralist and rum trader John Macarthur…",Australia,Oceania
Gold Rush Colony,"Mogo was established as a gold-rush town, and this sizeable recreation of a pioneer village aims to capture the atmosphere of that time. Some displays…",Australia,Oceania
Como House & Garden,"A wedding cake of Australian Regency and Italianate architecture, this elegant colonial residence is Melbourne heritage royalty. Dating from 1847, it…",Australia,Oceania
Rosalind Park,"In the city centre, this lovely green space is reminiscent of a London park, with lawns, grand old trees, a fernery, 19th-century statues and the fabulous…",Australia,Oceania
Eyre Bird Observatory,"Birds Australia’s Eyre Bird Observatory is housed in the remote and lovely 1897 former Old Telegraph Station, 50km south of Cocklebiddy on the Great…",Australia,Oceania
Cape Liptrap Coastal Park,"Along the coastline that arches west from the Prom is a scenic coastal park. Here the Cape Liptrap Lighthouse (c 1913) offers sublime ocean vistas, and…",Australia,Oceania
Daydream Island,"The rainforest-cloaked, reef-fringed Daydream Island is only 1km long and 200m wide, and very popular with day visitors due to its accessibility. Much of…",Australia,Oceania
